title_field,field_city,field_valuation,field_cap_rate,field_land_area,field_building_areas,field_urbis_supplied,field_adopted,field_site_utilisation,field_urbis_no_site_utilisation,field_adopted_site_utilisation,field_retail_liquour_outlet,
Berwick Inn,Melbourne,"17,810,000",7.12%,"4,166","1,390","1,390","1,390",33%,33%,33%,N,
Blackburn Hotel,Melbourne,"13,300,000",7.02%,"11,230","1,878","1,878","1,878",17%,17%,17%,BWS,
Blue Bell Hotel,"Wendouree, Victoria","3,970,000",5.82%,"3,689","1,351","1,351","1,351",37%,37%,37%,BWS,
Boundary Hotel,Melbourne,"19,600,000",6.91%,"4,916","1,932","1,932","1,932",39%,39%,39%,BWS,
Burvale Hotel,Melbourne,"15,500,000",6.60%,"45,280","6,151","6,151","6,151",14%,14%,14%,DM,
Club Hotel,Melbourne,"9,030,000",6.16%,"6,384","1,855","1,855","1,855",29%,29%,29%,BWS,
Cramers Hotel,Melbourne,"14,100,000",6.41%,"6,042","2,711","2,711","2,711",45%,45%,45%,BWS,
Deer Park Hotel,Melbourne,"11,270,000",6.75%,"15,095","3,152","3,152","3,152",21%,21%,21%,BWS,
Doncaster Inn Hotel,Melbourne,"18,800,000",6.39%,"16,240","3,925","3,925","3,925",24%,24%,24%,BWS,
Ferntree Gully Hotel & Motel,Melbourne,"8,500,000",6.43%,"22,754","2,435","2,435","2,435",11%,11%,11%,BWS,
Gateway Hotel,"Corio, Victoria","5,870,000",6.35%,"27,050","4,615","4,615","4,615",17%,17%,17%,DM,
Keysborough Hotel,Melbourne,"13,530,000",7.05%,"20,234","3,213","3,213","3,213",16%,16%,16%,BWS,
Mac's Hotel,"Melton, Victoria","10,770,000",6.75%,"6,084","2,071","2,071","2,071",34%,34%,34%,BWS,
Meadow Inn Hotel,Melbourne,"12,670,000",6.77%,"18,264","4,271","4,271","4,271",23%,23%,23%,DM & BWS,
Mitcham Hotel,Melbourne,"12,970,000",6.77%,"5,820","2,189","2,189","2,189",38%,38%,38%,BWS,
Morwell Hotel,"Morwell, Victoria","3,050,000",6.17%,"18,254","3,050","3,050","3,050",17%,17%,17%,BWS,
Olinda Creek Hotel,"Lilydale, Victoria","6,390,000",6.61%,"4,575","1,813","1,813","1,813",40%,40%,40%,BWS,
Pier Hotel/21st Century,Melbourne,"11,620,000",7.05%,"4,154","3,750","3,152","3,152",90%,76%,76%,N,
Plough Hotel,Melbourne,"12,250,000",7.36%,315,315,"1,571","1,571",100%,100%,100%,BWS,
Prince Mark Hotel,Melbourne,"15,600,000",6.41%,"16,750","4,126","4,126","4,126",25%,25%,25%,DM & BWS,
Royal Exchange Hotel,"Tralagon, Victoria","4,250,000",6.16%,"6,465","2,731","2,731","2,731",42%,42%,42%,DM,
Sandbelt Hotel,Melbourne,"16,300,000",7.02%,"19,100","5,290","5,290","5,290",28%,28%,28%,BWS,
Sandown Park Hotel,Melbourne,"9,580,000",6.50%,"37,218","4,630","4,630","4,630",12%,12%,12%,BWS,
Sandringham Hotel,Melbourne,"8,500,000",5.83%,"6,943","5,417","2,215","2,215",78%,78%,78%,BWS,
Somerville Hotel,"Mornington Penisula, Victoria","4,880,000",6.16%,"10,402","1,762","1,762","1,762",17%,17%,17%,BWS,
Stamford Inn Hotel,Melbourne,"18,580,000",6.80%,"35,390","4,548","4,548","4,548",13%,13%,13%,DM,
Sylvania Hotel,Melbourne,"9,520,000",6.16%,"9,941","2,707","2,707","2,707",27%,27%,27%,BWS,
The Vale Hotel,Melbourne,"8,750,000",6.50%,"20,941","3,572","3,572","3,572",17%,17%,17%,DM,
Tudor Inn Hotel,Melbourne,"8,850,000",6.50%,"4,789","2,026","2,026","2,026",42%,42%,42%,BWS,
Victoria Hotel,"Shepparton, Victoira","4,310,000",6.36%,"2,470","1,787","1,787","1,787",72%,72%,72%,BWS,
Village Green Hotel,Melbourne,"17,090,000",7.03%,"37,412","5,065","5,065","5,065",14%,14%,14%,BWS,
Young & Jacksons Hotel,Melbourne,"9,650,000",5.43%,529,345,529,529,65%,100%,100%,N,
Balmoral,Perth,"6,050,000",7.19%,"2,769",917,917,917,33%,33%,33%,N,
Brass Monkey,Perth,"8,130,000",6.60%,675,609,609,609,90%,90%,90%,N,
Queens Tavern,Perth,"7,550,000",6.58%,"2,360",617,617,617,26%,26%,26%,N,
Sail & Anchor Pub Brewery,Fremantle,"4,390,000",6.71%,686,686,712,686,100%,100%,100%,Sail & Anchor Bottleshop,
,,"771,530,000",,"969,651","216,609",,"209,057",22%,,22%,,
